category,message
,Happy Birthday Jaraaaa!!! 🎂
,udah pup belum
,jangan lupa mamm
,jara yang kuatt
,cieee kepala duaaa
,dd ultah gess
,hari ini wajib happy
,udah makan belummm
,jangan lupa minummm
,jaraaa jangan lupa bahagia
,cieee makin tuaaa
,selamat ulang tahunnnn jara
,jangan kebanyakan sedih yaa
,cil ayo senyum duluu
,jangan lupa istirahat yaa
,kamu udah makan belom sihh
,jangan lupa potong kuenya
,mana senyumnya jaraa
,cieee birthday girlll
,umur baru semangat baru
,jangan lupa bahagia terusss
,jara jangan nangis
,hari ini kamu ga boleh sedih
,udah siap jadi tua? 😭
,kepala dua detectedddd
,hbd jaraaa orang lucuuu
,semoga panjang umur yaa
,semoga sehat terus
,semoga semua yang kamu mau kejadian
,jangan lupa berdoaaa
,semoga rezekinya lancar
,semoga makin cantik
,semoga makin gemesss
,semoga semua urusannya dimudahkan
,semoga tahun ini lebih baik dari sebelumnya
,semoga ketemu banyak hal baik
,semoga senyumnya jangan ilang
,semoga selalu dikelilingi orang baik
,semoga semua capeknya terbayar
,semoga banyak uang juga wkwk
,semoga ga banyak drama
,semoga makin sayang sama diri sendiri
,semoga hari ini menyenangkan
,semoga besok juga menyenangkan
,semoga semua impiannya satu satu terwujud
,jangan lupa mamm
,jangan lupa minumm
,jara yang kuatt
,jangan terlalu keras sama diri sendiri
,istirahat kalau capek
,boleh nangis kalau perlu
,tapi abis itu senyum lagi yaa
,kamu hebat kok
,jangan ngerasa sendirian
,ada banyak yang sayang kamu..aku juga 😌
,cieee kepala duaaa
,akhirnya dua puluh juga nih bocil
,beneran udah tua sekarang
,waktunya belajar jadi orang dewasa wkwk
,tapi jangan dewasa banget ya
,tetap jadi jara yang lucu
,jangan berubah jadi galak
,hari ini ga boleh jutek
,senyum dulu baru marah
,jangan lupa bahagiaa
,jangan lupa bikin foto banyak
,nanti nyesel kalau ga ada dokumentasi
,cakep sih udah dari sananya
,jaraa jangan salting
,ih makin umur makin gemess
,jangan geer duluu
,tapi emang iya sih
,happy birthday orang favoritku
,jangan lupain aku hari ini yaa
,aku udah bilang hbd belom?
,HBD JARAAAAA!!!
,selamat bertambah umurrr
,jangan bertambah masalah juga 😭
,"umur nambah satu, lucunya nambah sepuluh"
,cieee resmi kepala dua
,selamat datang di umur yang katanya dewasa
,padahal masih suka rebahan
,masih suka bilang bentar
,bentar tapi sejam 😭
,udah makan belum?
,ini penting banget sih
,kalau belum makan mamm sekarang
,jangan bandelll
,minum juga
,jangan dehidrasi
,jaga kesehatan yaa
,jangan tidur terlalu malem
,walaupun tau bakal dilanggar 😭
,jara yang kuatt
,hari ini nikmatin aja semuanya
,ga usah mikirin yang aneh aneh
,biarin hari ini jadi hari kamu
,senyum sebanyak banyaknya
,ketawa yang keras
,makan kue yang banyak
,ambil hadiah juga yang banyak
,cieee dapat ucapan banyak
,semoga inbox penuh hari ini
,semoga hatinya juga penuh
,penuh bahagia maksudnyaaa
,jangan mikir macem macem
,pokoknya happy birthday jaraaa
,dd ultah gessss
,hari ini wajib happy
,ga ada debat
,ga ada sedih
,ga ada overthinking
,yang ada makan sama ketawa
,semoga tahun ini lebih baik dari sebelumnya
,semoga semua yang kamu takutkan jadi ringan
,semoga semua yang kamu tunggu datang
,semoga semua yang kamu usahakan berhasil
,semoga kamu selalu baik baik aja
,kamu harus terus jadi jara yang aku kenal 🤍
